TimeOfDay,Melbourne Central
2020-09-01 00:00:00,59.0
2020-09-01 01:00:00,33.0
2020-09-01 02:00:00,43.0
2020-09-01 03:00:00,37.0
2020-09-01 04:00:00,22.0
2020-09-01 05:00:00,31.0
2020-09-01 06:00:00,65.0
2020-09-01 07:00:00,80.0
2020-09-01 08:00:00,72.0
2020-09-01 09:00:00,110.0
2020-09-01 10:00:00,124.0
2020-09-01 11:00:00,179.0
2020-09-01 12:00:00,276.0
2020-09-01 13:00:00,282.0
2020-09-01 14:00:00,238.0
2020-09-01 15:00:00,293.0
2020-09-01 16:00:00,277.0
2020-09-01 17:00:00,322.0
2020-09-01 18:00:00,264.0
2020-09-01 19:00:00,192.0
2020-09-01 20:00:00,92.0
2020-09-01 21:00:00,66.0
2020-09-01 22:00:00,50.0
2020-09-01 23:00:00,45.0
2020-09-02 00:00:00,34.0
2020-09-02 01:00:00,22.0
2020-09-02 02:00:00,18.0
2020-09-02 03:00:00,6.0
2020-09-02 04:00:00,18.0
2020-09-02 05:00:00,27.0
2020-09-02 06:00:00,45.0
2020-09-02 07:00:00,56.0
2020-09-02 08:00:00,69.0
2020-09-02 09:00:00,103.0
2020-09-02 10:00:00,133.0
2020-09-02 11:00:00,165.0
2020-09-02 12:00:00,224.0
2020-09-02 13:00:00,253.0
2020-09-02 14:00:00,270.0
2020-09-02 15:00:00,269.0
2020-09-02 16:00:00,273.0
2020-09-02 17:00:00,299.0
2020-09-02 18:00:00,301.0
2020-09-02 19:00:00,173.0
2020-09-02 20:00:00,90.0
2020-09-02 21:00:00,71.0
2020-09-02 22:00:00,67.0
2020-09-02 23:00:00,87.0
2020-09-03 00:00:00,57.0
2020-09-03 01:00:00,13.0
2020-09-03 02:00:00,15.0
2020-09-03 03:00:00,14.0
2020-09-03 04:00:00,8.0
2020-09-03 05:00:00,25.0
2020-09-03 06:00:00,90.0
2020-09-03 07:00:00,70.0
2020-09-03 08:00:00,83.0
2020-09-03 09:00:00,114.0
2020-09-03 10:00:00,140.0
2020-09-03 11:00:00,216.0
2020-09-03 12:00:00,209.0
2020-09-03 13:00:00,268.0
2020-09-03 14:00:00,280.0
2020-09-03 15:00:00,247.0
2020-09-03 16:00:00,276.0
2020-09-03 17:00:00,307.0
2020-09-03 18:00:00,311.0
2020-09-03 19:00:00,187.0
2020-09-03 20:00:00,93.0
2020-09-03 21:00:00,87.0
2020-09-03 22:00:00,73.0
2020-09-03 23:00:00,43.0
2020-09-04 00:00:00,43.0
2020-09-04 01:00:00,76.0
2020-09-04 02:00:00,20.0
2020-09-04 03:00:00,16.0
2020-09-04 04:00:00,39.0
2020-09-04 05:00:00,32.0
2020-09-04 06:00:00,70.0
2020-09-04 07:00:00,86.0
2020-09-04 08:00:00,66.0
2020-09-04 09:00:00,111.0
2020-09-04 10:00:00,159.0
2020-09-04 11:00:00,249.0
2020-09-04 12:00:00,312.0
2020-09-04 13:00:00,291.0
2020-09-04 14:00:00,306.0
2020-09-04 15:00:00,348.0
2020-09-04 16:00:00,313.0
2020-09-04 17:00:00,349.0
2020-09-04 18:00:00,354.0
2020-09-04 19:00:00,233.0
2020-09-04 20:00:00,79.0
2020-09-04 21:00:00,106.0
2020-09-04 22:00:00,80.0
2020-09-04 23:00:00,52.0
2020-09-05 00:00:00,26.0
2020-09-05 01:00:00,35.0
2020-09-05 02:00:00,31.0
2020-09-05 03:00:00,16.0
2020-09-05 04:00:00,22.0
2020-09-05 05:00:00,31.0
2020-09-05 06:00:00,37.0
2020-09-05 07:00:00,45.0
2020-09-05 08:00:00,67.0
2020-09-05 09:00:00,93.0
2020-09-05 10:00:00,175.0
2020-09-05 11:00:00,247.0
2020-09-05 12:00:00,265.0
2020-09-05 13:00:00,349.0
2020-09-05 14:00:00,314.0
2020-09-05 15:00:00,412.0
2020-09-05 16:00:00,384.0
2020-09-05 17:00:00,290.0
2020-09-05 18:00:00,366.0
2020-09-05 19:00:00,207.0
2020-09-05 20:00:00,106.0
2020-09-05 21:00:00,84.0
